lag_factor,delta
2,34
3,77
4,58
5,97
6,32
7,-29
8,73
9,63
10,4
11,79
12,10
13,65
14,54
15,100
16,19
17,41
18,60
19,56
20,31
21,87
1,24
2,29
3,5
4,11
5,154
6,56
7,4
8,-7
9,69
10,57
11,43
12,64
13,29
14,44
15,66
16,38
17,90
18,3
19,21
20,109
21,63
1,-54
2,46
3,99
4,108
5,54
6,13
7,33
8,-55
9,47
10,35
11,18
12,119
13,171
14,56
15,138
16,14
17,107
18,59
19,-16
20,-10
21,14
1,-8
2,12
3,116
4,64
5,65
6,59
7,109
8,102
9,-8
10,-31
11,2
12,144
13,157
14,15
15,39
16,-1
17,71
18,14
19,-8
20,52
21,21
1,95
2,45
3,11
4,89
5,24
6,182
7,31
8,61
9,55
10,46
11,31
12,141
13,-9
14,51
15,20
16,58
17,51
18,20
19,128
20,108
21,71
1,298
2,19
3,96
4,-86
5,132
6,55
7,6
8,-18
9,150
10,77
11,116
12,61
13,27
14,61
15,24
16,121
17,112
18,52
19,81
20,9
21,23
1,0
2,73
3,69
4,125
5,46
6,26
7,-50
8,28
9,152
10,76
11,74
12,10
13,163
14,60
15,73
16,9
17,129
18,38
19,92
20,26
21,147
1,86
2,37
3,28
4,56
5,104
6,20
7,124
8,24
9,72
10,54
11,156
12,186
13,142
14,83
15,-22
16,35
17,114
18,49
19,67
20,35
21,36
1,127
2,58
3,-4
4,48
5,60
6,-14
7,64
8,34
9,170
10,17
11,9
12,-1
13,99
14,-12
15,-2
16,129
17,159
18,45
19,15
20,79
21,32
1,97
2,-25
3,12
4,8
5,105
6,16
7,47
8,39
9,94
10,115
11,59
12,-2
13,49
14,57
15,53
16,85
17,23
18,33
19,64
20,45
21,68
1,96
2,89
3,28
4,22
5,80
6,40
7,49
8,-27
9,82
10,86
11,71
12,74
13,48
14,14
15,36
16,24
17,21
18,-34
19,103
20,49
21,33
1,101
2,67
3,115
4,85
5,144
6,145
7,-23
8,88
9,32
10,52
11,93
12,40
13,102
14,160
15,72
16,6
17,77
18,17
19,293
20,148
21,11
1,59
2,141
3,53
4,30
5,178
6,171
7,52
8,49
9,55
10,31
11,3
12,117
13,10
14,-7
15,74
16,72
17,124
18,56
